id,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
165034,586,0,0,26.0,2,0.0,2,0.0,1.0,160976.75
165035,683,0,0,46.0,2,0.0,1,1.0,0.0,72549.27
165036,656,0,0,34.0,7,0.0,2,1.0,0.0,138882.09
165037,681,0,1,36.0,8,0.0,1,1.0,0.0,113931.57
165038,752,1,1,38.0,10,121263.62,1,1.0,0.0,139431.0
165039,593,0,0,26.0,9,0.0,2,0.0,0.0,51907.72
165040,682,2,1,45.0,4,0.0,2,1.0,1.0,157878.67
165041,539,2,0,47.0,8,0.0,2,1.0,1.0,126784.29
165042,754,0,0,47.0,3,111096.91,1,1.0,0.0,94978.1
165043,645,2,1,30.0,5,0.0,2,0.0,1.0,149195.44
165044,754,1,1,33.0,8,130878.75,1,1.0,1.0,56897.1
165045,651,0,1,38.0,4,0.0,2,1.0,0.0,176750.81
165046,632,0,0,26.0,8,0.0,2,1.0,1.0,163650.87
165047,685,1,1,38.0,2,135070.21,1,0.0,1.0,88820.24
165048,607,1,1,42.0,5,122917.71,1,0.0,0.0,105898.79
165049,664,0,0,43.0,10,0.0,2,1.0,1.0,131177.22
165050,613,2,0,26.0,3,139986.54,1,1.0,1.0,131501.72
165051,538,0,0,31.0,5,0.0,1,1.0,0.0,160529.71
165052,656,2,1,29.0,2,0.0,2,0.0,0.0,67840.81
165053,680,0,1,33.0,3,86920.86,1,1.0,0.0,159830.58
165054,543,2,0,32.0,4,0.0,2,0.0,1.0,71862.79
165055,666,0,0,36.0,2,139986.54,1,0.0,1.0,27468.72
165056,754,0,1,35.0,3,0.0,1,1.0,0.0,140938.95
165057,631,2,1,33.0,1,0.0,2,1.0,1.0,176750.81
165058,671,1,0,35.0,1,124098.54,1,1.0,0.0,146636.44
165059,559,2,1,37.0,7,139986.54,1,1.0,0.0,154208.96
165060,639,0,0,50.0,3,0.0,1,1.0,0.0,176750.81
165061,554,0,1,45.0,7,0.0,1,0.0,1.0,176750.81
165062,732,1,1,38.0,5,139986.54,1,1.0,1.0,176750.81
165063,624,0,0,42.0,10,0.0,1,1.0,1.0,50454.8
165064,523,0,0,33.0,4,0.0,2,0.0,1.0,136628.27
165065,587,0,0,40.0,2,0.0,2,0.0,1.0,130514.78
165066,662,0,1,39.0,2,0.0,1,1.0,1.0,79638.13
165067,754,2,0,38.0,5,102800.72,2,0.0,0.0,80553.51
165068,667,0,1,38.0,6,121527.9,1,1.0,1.0,68985.99
165069,661,0,1,33.0,7,0.0,2,0.0,1.0,141069.88
165070,738,2,0,43.0,6,0.0,1,1.0,0.0,136610.51
165071,565,2,0,33.0,7,0.0,2,1.0,0.0,70553.51
165072,733,0,1,34.0,4,135020.61,1,1.0,0.0,63846.88
165073,586,1,0,47.0,7,126473.33,1,1.0,0.0,121408.55
165074,638,2,0,39.0,8,0.0,1,1.0,0.0,167030.51
165075,702,0,1,40.0,3,139986.54,1,0.0,0.0,146056.29
165076,621,1,0,44.0,1,80780.63,2,1.0,1.0,171581.79
165077,736,0,1,37.0,5,0.0,2,1.0,1.0,133535.57
165078,714,2,0,34.0,0,0.0,1,0.0,0.0,121537.5
165079,561,0,0,43.0,9,0.0,2,0.0,0.0,149564.64
165080,676,0,0,33.0,7,0.0,2,1.0,1.0,107874.39
165081,550,2,0,27.0,9,72788.03,2,1.0,1.0,103608.06
165082,597,2,1,26.0,5,0.0,2,1.0,1.0,95159.13
165083,674,1,1,39.0,4,120233.24,1,1.0,0.0,52861.89
165084,724,1,1,33.0,7,97286.16,2,1.0,0.0,143433.33
165085,591,0,1,31.0,4,0.0,2,1.0,1.0,142033.07
165086,637,0,1,27.0,3,0.0,2,1.0,0.0,77510.53
165087,619,0,0,44.0,1,0.0,1,0.0,1.0,87413.67
165088,743,2,1,36.0,3,0.0,2,1.0,0.0,176750.81
165089,705,2,0,34.0,2,129947.56,2,0.0,0.0,144874.39
165090,706,0,1,34.0,0,126473.33,1,1.0,0.0,50783.1
165091,709,0,1,42.0,2,0.0,2,1.0,1.0,64420.09
165092,523,0,0,38.0,7,0.0,2,1.0,1.0,167538.66
165093,573,2,0,31.0,7,0.0,1,1.0,1.0,167984.72
165094,549,0,1,38.0,1,0.0,2,1.0,1.0,20955.03
165095,739,2,1,50.0,1,0.0,2,0.0,1.0,176750.81
165096,523,0,1,42.0,9,0.0,1,1.0,1.0,129975.34
165097,646,0,0,31.0,2,121685.31,1,1.0,0.0,176713.47
165098,650,0,1,43.0,6,0.0,2,1.0,1.0,20955.03
165099,711,0,0,31.0,6,0.0,2,1.0,1.0,168843.09
165100,559,1,1,49.0,4,104586.56,1,1.0,0.0,26015.8
165101,559,1,0,26.0,8,129307.49,2,1.0,1.0,81733.46
165102,554,0,0,32.0,3,120124.88,1,1.0,1.0,162597.64
165103,754,2,1,31.0,4,0.0,2,1.0,0.0,70668.77
165104,648,0,1,34.0,2,0.0,1,1.0,0.0,98820.09
165105,652,1,1,41.0,9,123936.54,1,1.0,0.0,86022.09
165106,738,1,1,39.0,9,95830.43,1,1.0,0.0,91565.25
165107,701,1,1,43.0,7,96651.48,2,1.0,1.0,132467.33
165108,749,0,1,26.0,7,0.0,2,0.0,0.0,158071.69
165109,633,1,0,34.0,2,88815.56,1,0.0,0.0,55829.25
165110,731,0,1,31.0,9,0.0,1,1.0,1.0,58601.66
165111,693,0,0,38.0,5,0.0,2,0.0,0.0,80120.19
165112,683,2,0,39.0,8,0.0,2,0.0,0.0,57338.56
165113,523,0,1,34.0,3,0.0,2,1.0,0.0,125979.36
165114,661,0,1,33.0,9,0.0,2,1.0,0.0,46811.77
165115,597,0,0,37.0,8,0.0,2,0.0,1.0,82463.69
165116,741,1,1,36.0,5,116993.43,1,1.0,0.0,168816.22
165117,646,2,1,35.0,1,0.0,2,0.0,0.0,174770.14
165118,566,0,1,38.0,3,0.0,1,1.0,0.0,54926.51
165119,599,0,0,40.0,0,0.0,2,1.0,0.0,144874.67
165120,628,0,1,34.0,4,122314.5,1,1.0,0.0,138526.96
165121,680,0,0,47.0,5,0.0,2,1.0,0.0,176750.81
165122,754,2,0,43.0,5,134204.67,1,0.0,1.0,139971.01
165123,670,0,1,38.0,9,62391.22,1,1.0,1.0,143315.57
165124,708,2,0,37.0,8,122570.69,1,0.0,0.0,176750.81
165125,684,0,1,32.0,5,139986.54,1,1.0,1.0,113840.56
165126,537,0,0,34.0,4,118098.62,2,1.0,1.0,120314.75
165127,703,2,1,40.0,4,0.0,2,1.0,1.0,171099.22
165128,678,0,1,41.0,1,0.0,2,1.0,1.0,151481.86
165129,669,0,1,40.0,4,0.0,2,1.0,1.0,20955.03
165130,629,0,0,44.0,5,0.0,2,0.0,0.0,117572.59
165131,754,0,1,32.0,5,81025.6,2,1.0,1.0,72924.56
165132,634,1,0,37.0,3,139986.54,1,0.0,1.0,176750.81
165133,651,0,1,35.0,3,86911.8,1,1.0,0.0,174094.24
